"조사연도","가구고유번호(MD제공용)","가구원고유번호(MD제공용)","[가구원 정보] 성별","[가구원 정보] 만나이","[가구원 정보] 가구주와의 관계","[가구원 정보] 동거여부","[가구원 정보] 교육정도_최종학력","[가구원 정보] 교육정도_수료여부","[가구원 정보] 혼인상태","[가구원 정보] 종사상 지위","[가구원 정보] 등록장애인 여부(2013년~)","[가구원 정보] 귀화·인지에 의한 국적취득 또는 외국인 여부(2013년~)"
2019,010500141,010500141001,2,52,2,2,6,1,2,2,2,2
2019,010500141,010500141002,1,56,1,2,6,1,2,1,2,2
2019,010500141,010500141003,2,23,3,2,6,2,1,7,2,2
2019,010500141,010500141004,2,21,3,2,4,2,1,7,2,2
2019,010500141,010500141005,2,18,3,2,3,2,1,7,2,2
2019,010500141,010500141006,1,7,3,2,2,2,,,2,2
2019,010500151,010500151001,2,64,1,2,3,1,3,7,2,2
2019,010500151,010500151002,1,42,3,2,5,1,1,2,2,2
2019,010500161,010500161001,1,84,1,2,6,3,2,7,1,2
2019,010500161,010500161002,2,77,2,2,3,3,2,7,2,2
2019,010500171,010500171001,1,57,1,2,4,1,2,1,2,2
2019,010500171,010500171002,2,51,2,2,3,1,2,2,2,2
2019,010500171,010500171003,1,23,3,2,6,2,1,7,2,2
2019,010500171,010500171004,2,21,3,2,5,2,1,7,2,2
2019,010500181,010500181001,1,56,1,2,5,1,2,1,2,2
2019,010500181,010500181002,2,51,2,2,4,1,2,7,2,2
2019,010500181,010500181003,1,27,3,2,6,1,1,7,2,2
2019,010500181,010500181004,1,26,3,2,6,3,1,1,2,2
2019,010500181,010500181005,2,84,6,2,2,1,3,7,2,2
2019,010500191,010500191001,1,69,1,2,4,1,2,7,2,2
2019,010500191,010500191002,2,63,2,2,4,1,2,6,2,2
2019,010500191,010500191003,1,38,3,3,5,1,1,1,2,2
2019,010501201,010501201001,1,66,1,2,4,1,2,2,2,2
2019,010501201,010501201002,2,63,2,2,4,1,2,7,2,2
2019,010501201,010501201003,1,38,3,2,6,4,1,1,2,2
2019,010501211,010501211001,1,56,1,2,4,1,2,2,2,2
2019,010501211,010501211002,2,54,2,2,3,1,2,2,1,2
2019,010501211,010501211004,1,27,3,2,5,1,1,1,2,2
2019,010501211,010501211005,1,19,3,2,5,2,1,7,2,2
2019,010501221,010501221001,1,46,1,2,6,1,2,1,2,2
2019,010501221,010501221002,2,44,2,2,5,1,2,7,2,2
2019,010501221,010501221003,1,7,3,2,2,2,,,2,2
2019,010501221,010501221004,2,5,3,2,1,,,,2,2
2019,010501231,010501231001,1,50,1,2,6,1,2,1,2,2
2019,010501231,010501231002,2,44,2,2,4,1,2,6,2,2
2019,010501231,010501231003,2,17,3,2,4,2,1,7,2,2
2019,010501231,010501231004,1,16,3,2,4,2,1,7,2,2
2019,010501241,010501241001,1,65,1,2,4,1,2,3,2,2
2019,010501241,010501241002,2,59,2,2,3,4,2,7,2,2
2019,010501241,010501241003,1,42,3,2,4,1,1,1,2,2
2019,010501271,010501271001,1,62,1,2,4,1,2,3,2,2
2019,010501271,010501271002,2,60,2,2,4,1,2,5,2,2
2019,010501281,010501281001,1,66,1,2,4,1,2,2,2,2
2019,010501281,010501281002,2,60,2,2,4,1,2,1,2,2
2019,010501281,010501281003,2,33,3,2,6,1,1,7,2,2
2019,010501281,010501281004,2,31,3,2,6,1,1,1,2,2
2019,010503301,010503301001,1,48,1,2,4,1,2,1,2,2
2019,010503301,010503301002,2,51,2,2,4,1,2,7,2,2
2019,010503301,010503301003,2,22,3,2,6,1,1,7,2,2
2019,010503301,010503301004,2,18,3,2,3,2,1,7,2,2
2019,010503311,010503311001,1,37,1,2,6,1,2,1,2,2
2019,010503311,010503311002,2,32,2,2,6,1,2,7,2,2
2019,010503311,010503311003,1,1,3,2,1,,,,2,2
2019,010503331,010503331001,1,48,3,2,6,1,1,2,2,2
2019,010503331,010503331002,2,73,1,2,2,1,3,2,2,2
2019,010503341,010503341001,1,51,1,2,6,1,2,1,2,2
2019,010503341,010503341002,2,52,2,2,4,1,2,2,2,2
2019,010503341,010503341003,1,25,3,2,6,1,1,2,2,2
2019,010503341,010503341004,2,23,3,2,5,1,1,2,2,2
2019,010503361,010503361001,1,42,1,2,4,1,2,1,2,2
2019,010503361,010503361002,2,40,2,2,5,1,2,7,2,2
2019,010503361,010503361003,1,13,3,2,2,2,,,2,2
2019,010503361,010503361004,1,10,3,2,2,2,,,2,2
2019,010503391,010503391001,1,70,1,2,6,1,2,7,2,2
2019,010503391,010503391002,2,67,2,2,6,4,2,3,2,2
2019,010600141,010600141001,1,65,1,2,4,1,2,4,1,2
2019,010600141,010600141002,2,66,2,2,4,1,2,5,2,2
2019,010600141,010600141003,1,37,3,2,4,1,1,2,2,2
2019,010600141,010600141004,2,34,3,2,4,1,1,2,2,2
2019,010600171,010600171001,1,28,1,1,6,4,1,1,2,2
2019,010600211,010600211001,1,68,1,1,2,1,4,2,2,2
2019,010600221,010600221001,2,24,1,1,5,1,1,1,2,2
2019,010600241,010600241001,2,82,1,1,1,,3,7,2,2
2019,010600271,010600271001,1,55,1,2,1,,2,1,2,2
2019,010600271,010600271002,2,51,2,2,5,1,2,7,2,2
2019,010600271,010600271003,2,25,3,4,6,1,1,7,2,2
2019,010600271,010600271004,1,24,3,2,6,2,1,7,2,2
2019,010600281,010600281001,1,60,1,2,4,1,2,7,2,2
2019,010600281,010600281002,2,56,2,2,3,1,2,4,2,2
2019,010600291,010600291001,1,40,1,2,5,1,2,1,2,2
2019,010600291,010600291002,2,43,2,2,5,1,2,1,2,2
2019,010600291,010600291003,2,12,3,2,2,2,,,2,2
2019,010600331,010600331001,1,46,1,2,7,1,2,1,2,2
2019,010600331,010600331002,2,44,2,2,7,1,2,1,2,2
2019,010600331,010600331003,2,12,3,2,2,2,,,2,2
2019,010600331,010600331004,1,8,3,2,2,2,,,2,2
2019,010600331,010600331005,2,76,6,2,2,1,3,7,2,2
2019,010600351,010600351001,1,78,1,2,4,1,2,7,2,2
2019,010600351,010600351002,2,71,2,2,4,1,2,7,2,2
2019,010600361,010600361001,1,53,1,2,5,1,2,1,2,2
2019,010600361,010600361002,2,49,2,2,5,1,2,1,2,2
2019,010600361,010600361003,1,25,3,2,5,1,1,1,2,2
2019,010600361,010600361004,1,23,3,4,5,1,1,1,2,2
2019,010600371,010600371001,2,58,1,2,3,1,2,1,2,2
2019,010600371,010600371002,1,60,2,2,3,1,2,2,2,2
2019,010600371,010600371003,2,80,6,2,2,1,3,7,2,2
2019,010600381,010600381001,2,53,1,2,3,3,2,1,2,2
2019,010600381,010600381002,1,59,2,3,3,3,2,1,2,2
2019,010600381,010600381003,1,30,3,2,4,1,1,1,2,2
2019,010601101,010601101001,1,71,1,2,3,1,2,7,2,2
2019,010601101,010601101002,2,70,2,2,2,1,2,7,2,2
2019,010601111,010601111001,1,43,1,2,4,1,2,4,2,2
2019,010601111,010601111002,2,38,2,2,4,1,2,7,2,2
2019,010601111,010601111003,1,16,3,2,3,2,1,7,2,2
2019,010601111,010601111004,1,13,3,2,2,2,,,2,2
2019,010601111,010601111005,1,11,3,2,2,2,,,2,2
2019,010601111,010601111006,2,9,3,2,2,2,,,2,2
2019,010601121,010601121001,1,75,1,2,2,1,2,1,2,2
2019,010601121,010601121002,2,67,2,2,2,1,2,7,2,2
2019,010700111,010700111001,1,35,1,2,6,1,2,1,2,2
2019,010700111,010700111002,2,32,2,2,7,1,2,7,2,2
2019,010700121,010700121001,2,29,1,2,8,1,1,1,2,2
2019,010700121,010700121002,1,22,8,2,6,2,1,7,2,2
2019,010700141,010700141001,2,48,1,2,4,1,4,2,2,2
2019,010700141,010700141002,1,24,3,2,5,1,1,7,2,2
2019,010700151,010700151001,1,64,1,2,2,1,2,2,2,2
2019,010700151,010700151002,2,58,2,2,2,1,2,7,2,2
2019,010700181,010700181001,1,37,1,2,6,1,2,1,1,2
2019,010700181,010700181002,2,30,2,2,5,1,2,7,1,2
2019,010700181,010700181003,1,1,3,2,1,,,,2,2
2019,010700191,010700191001,1,68,1,2,3,1,2,7,2,2
2019,010700191,010700191002,2,60,2,2,3,1,2,7,2,2
2019,010700211,010700211001,2,61,1,1,3,1,4,4,2,2
2019,010700221,010700221001,2,79,1,1,1,,3,7,2,2
2019,010700231,010700231001,2,51,1,2,4,1,4,1,2,2
2019,010700231,010700231002,2,24,3,4,6,2,1,7,2,2
2019,010700231,010700231003,1,18,3,2,6,2,1,7,2,2
2019,010700241,010700241001,1,65,1,2,2,1,2,1,2,2
2019,010700241,010700241002,2,63,2,2,2,1,2,7,2,2
2019,010700251,010700251001,1,59,2,2,3,1,2,2,2,2
2019,010700251,010700251002,2,59,1,2,2,1,2,2,2,2
2019,010700321,010700321001,2,67,1,2,4,1,2,2,2,2
2019,010700321,010700321002,1,68,2,2,4,1,2,7,2,2
2019,010700321,010700321003,2,36,3,2,5,1,1,2,2,2
2019,010700331,010700331001,1,72,1,2,3,4,2,7,2,2
2019,010700331,010700331002,2,70,2,2,2,1,2,7,2,2
2019,010700331,010700331003,2,41,3,2,4,1,1,7,1,2
2019,010700341,010700341001,1,46,1,2,6,1,2,4,2,2
2019,010700341,010700341002,2,43,2,2,6,1,2,7,2,2
2019,010700341,010700341003,1,15,3,2,3,2,1,7,2,2
2019,010700341,010700341004,1,15,3,2,3,2,1,7,2,2
2019,010700341,010700341005,1,9,3,2,2,2,,,2,2
2019,010700391,010700391001,1,45,1,2,4,1,2,1,2,2
2019,010700391,010700391002,2,43,2,2,4,1,2,2,2,2
2019,010700391,010700391003,1,8,3,2,2,2,,,2,2
2019,010701101,010701101001,2,47,1,2,4,1,4,1,2,1
2019,010701101,010701101002,2,12,3,2,2,2,,,2,2
2019,010701101,010701101003,2,70,6,2,2,1,3,7,2,1
2019,010800111,010800111001,1,49,1,2,6,1,2,1,2,2
2019,010800111,010800111002,2,46,2,2,6,1,2,7,2,2
2019,010800111,010800111003,2,20,3,2,6,2,1,7,2,2
2019,010800111,010800111004,1,19,3,2,6,2,1,7,2,2
